1|[Oi], tudo bem?|Hi, how's it going?
2|[Bom dia]!|Good morning!
3|[Boa tarde], dona Müller.|Good day, Mrs. Müller.
4|[Boa noite], pessoal!|Good evening, everyone!
5|[Boa noite], durma bem!|Good night, sleep well!
6|[Como vai o senhor]?|How are you? (formal)
7|[Estou bem], obrigado.|I'm fine, thanks.
8|[E você]?|And you?
9|[Meu nome é] Anna.|My name is Anna.
10|[Como você se chama]?|What's your name?
11|[Prazer] em te conhecer.|Nice to meet you.
12|[De onde você é]?|Where are you from?
13|[Eu sou dos] Estados Unidos.|I'm from the USA.
14|[Onde você mora]?|Where do you live?
15|[Eu moro em] Denver.|I live in Denver.
16|[Quantos anos você tem]?|How old are you?
17|[Eu tenho] trinta [anos].|I'm thirty years old.
18|[Você fala] inglês?|Do you speak English?
19|[Eu falo um pouco de] alemão.|I speak a little German.
20|[Estou aprendendo] alemão.|I'm learning German.
21|[Eu não entendo] isso.|I don't understand that.
22|[Mais uma vez], por favor.|Once more, please.
23|[Mais devagar], por favor.|Slower, please.
24|[Muito obrigado]!|Thank you very much!
25|[De nada]!|You're welcome!
26|[Sem problema].|No problem.
27|[Com licença]!|Excuse me!
28|[Sinto muito].|I'm sorry.
29|[Sim, claro].|Yes, gladly.
30|[Não, obrigado].|No, thank you.
31|[Talvez].|Maybe.
32|[Beleza]!|All right! / Got it!
33|[Tchau]!|Bye!
34|[Até logo]!|Goodbye!
35|[Até amanhã]!|See you tomorrow!
36|[Até mais tarde]!|See you later!
37|[Até breve]!|See you soon!
38|[Bom fim de semana]!|Have a nice weekend!
39|[Tenha um bom dia]!|Have a nice day!
40|[O que é isso]?|What is that?
41|[Como]?|Pardon?
42|[Não sei].|I don't know.
43|[Este é] meu amigo Tom.|This is my friend Tom.
44|[Bem-vindo]!|Welcome!
45|[Parabéns]!|Congratulations!
46|[O que significa] esta palavra?|What does this word mean?
47|[Como se diz] "thank you" em alemão?|How do you say "thank you" in German?
48|[Como se escreve] isso?|How do you spell that?
49|[Você poderia] falar mais devagar, por favor?|Could you speak more slowly, please?
50|[Você pode repetir], por favor?|Can you repeat that, please?
51|[O que você está fazendo] aqui?|What are you doing here?
52|[O que você gosta de fazer] no seu tempo livre?|What do you like to do in your free time?
53|[Desde quando] você estuda alemão?|How long have you been learning German?
54|[Estudo alemão há] um ano.|I've been learning German for a year.
55|[Posso] te [perguntar] uma coisa?|May I ask you something?
56|[Tenho uma pergunta].|I have a question.
57|[Não faço ideia].|No idea.
58|[Não tem problema].|That doesn't matter.
59|[Foi um prazer].|My pleasure.
60|[Muito obrigado pela] sua ajuda.|Thanks a lot for your help.
61|[Que bom] te ver!|I'm happy to see you.
62|[Quanto tempo]!|Long time no see!
63|[E aí, quais são as novidades]?|What's new?
64|[Nada de mais], e você?|Not much, and with you?
65|[Como foi] o seu dia?|How was your day?
66|[Mais ou menos].|So-so.
67|[Não muito bem], para ser sincero.|Not so good, to be honest.
68|[Parece bom].|That sounds good.
69|[É verdade].|That's true.
70|[Não é verdade].|That's not true.
71|[Exatamente]!|Exactly!
72|[Sério]?|Really?
73|[É mesmo]? Eu não sabia.|Really? I didn't know that.
74|[Acho que sim].|I think so.
75|[Acho que não].|I don't think so.
76|[Peraí]!|Wait a moment!
77|[Um momento], por favor.|One moment, please.
78|[Cuidado]!|Watch out!
79|[Boa sorte]!|Good luck!
80|[Divirta-se]!|Have fun!
81|[Boa viagem]!|Have a good trip!
82|[Manda um abraço] para a sua família [por mim].|Say hi to your family for me.
83|[Como se pronuncia] isso?|How do you pronounce that?
84|[Não tenho certeza].|I'm not sure.
85|[Você pode me ajudar]?|Can you help me?
86|[O que houve]?|What's wrong? / What's going on?
87|[Nada de especial].|Nothing special.
88|[Se cuida]!|Take care!
89|[Cuide-se bem]!|Take care of yourself!
90|[Até lá]!|See you then!
91|[Não tenho certeza se] entendi direito.|I'm not sure whether I understood that correctly.
92|[O que você quer dizer com isso]?|What do you mean by that?
93|[Como assim]?|How do you mean that?
94|[Só queria dizer que] estou feliz.|I just wanted to say that I'm happy.
95|[O senhor poderia me dizer] onde fica a estação de trem?|Could you tell me where the train station is?
96|[Eu teria uma pergunta].|I'd have a question.
97|[Que bom te] ver de novo.|It's nice to see you again.
98|[Faz tempo que a gente não se] vê.|We haven't seen each other in a long time.
99|[O que você tem feito] ultimamente?|What have you been up to lately?
100|[Como você tem] passado?|How have you been?
101|[Fico feliz em saber].|I'm glad to hear that.
102|[Sinto muito em saber disso].|I'm sorry to hear that.
103|[Ah, tá], agora entendi.|Oh, I see, now I understand.
104|[Faz sentido].|That makes sense.
105|[Que] interessante!|That's interesting!
106|[É verdade que] você vai se mudar?|Is it true that you're moving?
107|[Queria te perguntar se] você tem tempo.|I wanted to ask you whether you have time.
108|[Você se importa se] eu abrir a janela?|Do you mind if I open the window?
109|[Não há de quê].|Don't mention it.
110|[Tenho que ir].|I have to go.
111|[Infelizmente tenho que ir agora].|Unfortunately I have to go now.
112|[Vamos manter] contato.|Let's stay in touch.
113|[Me dá um toque] quando tiver tempo.|Get in touch when you have time.
114|[É só me mandar] uma mensagem.|Just send me a message.
115|[Posso te incomodar um minutinho]?|Can I bother you for a second?
116|[Não estou atrapalhando], né?|I'm not disturbing you, am I?
117|[Como era mesmo]?|What was that again?
118|[Esqueci] o seu nome.|I've forgotten your name.
119|[Onde a gente parou]?|Where were we?
120|[Aliás], tenho novidades.|By the way, I have news.
121|[Falando em] férias, para onde você vai?|Speaking of vacation, where are you going?
122|[Isso depende].|That depends.
123|[Depende].|It depends.
124|[Tanto faz] o que a gente vai fazer.|I don't care what we do.
125|[Estou curioso para ver] o que vai acontecer.|I'm curious to see what happens.
126|[Não peguei essa].|I didn't catch that.
127|[Você pode explicar de outro jeito]?|Can you explain that differently?
128|[Na verdade, eu quis dizer] outra coisa.|I actually meant something else.
129|[Falei errado].|I misspoke.
130|[Foi só uma brincadeira].|That was just a joke.
131|[Estou com pressa].|I'm in a hurry.
132|[Que bom que você veio].|Nice that you're here.
133|[Chega bem em casa]!|Get home safely!
134|[Fique à vontade].|Make yourself at home.
135|[Enfim], a vida é assim.|Oh well, that's life.
136|[Se não me engano], a gente já se conhece.|If I'm not mistaken, we've met before.
137|[Isso me parece familiar].|That sounds familiar.
138|[Seu rosto não me é estranho].|You look familiar.
139|[Me fugiu da cabeça].|That slipped my mind.
140|[Está na ponta da língua].|It's on the tip of my tongue.
141|[Sou todo ouvidos].|I'm all ears.
142|[Para ser sincero], não estou a fim.|To be honest, I don't feel like it.
143|[Sinceramente], acho isso estranho.|Honestly, I find that strange.
144|[Que eu saiba], ele já foi embora.|As far as I know, he's already gone.
145|[Seja como for], temos que continuar.|Be that as it may, we have to keep going.
146|[Resumindo]: não deu certo.|In short: it didn't work out.
147|[Em outras palavras], vamos começar de novo.|In other words, we're starting over.
148|[Quer dizer então que] você não vem?|So that means you're not coming?
149|[Como eu disse], hoje não posso.|As I said, I can't today.
150|[Não quis te interromper].|I didn't mean to interrupt you.
