1|[Hallo], wie geht's?|Hi, how's it going?
2|[Guten Morgen]!|Good morning!
3|[Guten Tag], Frau Müller.|Good day, Mrs. Müller.
4|[Guten Abend] zusammen!|Good evening, everyone!
5|[Gute Nacht], schlaf gut!|Good night, sleep well!
6|[Wie geht es Ihnen]?|How are you? (formal)
7|[Mir geht's gut], danke.|I'm fine, thanks.
8|[Und dir]?|And you?
9|[Ich heiße] Anna.|My name is Anna.
10|[Wie heißt du]?|What's your name?
11|[Freut mich], dich kennenzulernen.|Nice to meet you.
12|[Woher kommst du]?|Where are you from?
13|[Ich komme aus] den USA.|I'm from the USA.
14|[Wo wohnst du]?|Where do you live?
15|[Ich wohne in] Denver.|I live in Denver.
16|[Wie alt bist du]?|How old are you?
17|[Ich bin] dreißig [Jahre alt].|I'm thirty years old.
18|[Sprichst du] Englisch?|Do you speak English?
19|[Ich spreche ein bisschen] Deutsch.|I speak a little German.
20|[Ich lerne] Deutsch.|I'm learning German.
21|[Ich verstehe] das [nicht].|I don't understand that.
22|[Noch einmal], bitte.|Once more, please.
23|[Langsamer], bitte.|Slower, please.
24|[Danke schön]!|Thank you very much!
25|[Bitte schön]!|You're welcome!
26|[Kein Problem].|No problem.
27|[Entschuldigung]!|Excuse me!
28|[Es tut mir leid].|I'm sorry.
29|[Ja, gerne].|Yes, gladly.
30|[Nein, danke].|No, thank you.
31|[Vielleicht].|Maybe.
32|[Alles klar]!|All right! / Got it!
33|[Tschüss]!|Bye!
34|[Auf Wiedersehen]!|Goodbye!
35|[Bis morgen]!|See you tomorrow!
36|[Bis später]!|See you later!
37|[Bis bald]!|See you soon!
38|[Schönes Wochenende]!|Have a nice weekend!
39|[Schönen Tag noch]!|Have a nice day!
40|[Was ist das]?|What is that?
41|[Wie bitte]?|Pardon?
42|[Ich weiß nicht].|I don't know.
43|[Das ist] mein Freund Tom.|This is my friend Tom.
44|[Willkommen]!|Welcome!
45|[Herzlichen Glückwunsch]!|Congratulations!
46|[Was bedeutet] dieses Wort?|What does this word mean?
