1|[Salut], ce mai faci?|Hi, how's it going?
2|[Bună dimineața]!|Good morning!
3|[Bună ziua], doamna Müller.|Good day, Mrs. Müller.
4|[Bună seara] tuturor!|Good evening, everyone!
5|[Noapte bună], somn ușor!|Good night, sleep well!
6|[Ce mai faceți]?|How are you? (formal)
7|[Sunt bine], mersi.|I'm fine, thanks.
8|[Și tu]?|And you?
9|[Mă numesc] Anna.|My name is Anna.
10|[Cum te cheamă]?|What's your name?
11|[Îmi pare bine] să te cunosc.|Nice to meet you.
12|[De unde ești]?|Where are you from?
13|[Sunt din] Statele Unite.|I'm from the USA.
14|[Unde locuiești]?|Where do you live?
15|[Locuiesc în] Denver.|I live in Denver.
16|[Câți ani ai]?|How old are you?
17|[Am] treizeci [de ani].|I'm thirty years old.
18|[Vorbești] engleză?|Do you speak English?
19|[Vorbesc puțin] germana.|I speak a little German.
20|[Învăț] germana.|I'm learning German.
21|[Nu înțeleg] asta.|I don't understand that.
22|[Încă o dată], te rog.|Once more, please.
23|[Mai rar], te rog.|Slower, please.
24|[Mulțumesc frumos]!|Thank you very much!
25|[Cu plăcere]!|You're welcome!
26|[Nicio problemă].|No problem.
27|[Scuzați-mă]!|Excuse me!
28|[Îmi pare rău].|I'm sorry.
29|[Da, cu drag].|Yes, gladly.
30|[Nu, mulțumesc].|No, thank you.
31|[Poate].|Maybe.
32|[Am înțeles]!|All right! / Got it!
33|[Pa]!|Bye!
34|[La revedere]!|Goodbye!
35|[Pe mâine]!|See you tomorrow!
36|[Pe mai târziu]!|See you later!
37|[Pe curând]!|See you soon!
38|[Weekend plăcut]!|Have a nice weekend!
39|[O zi bună în continuare]!|Have a nice day!
40|[Ce este asta]?|What is that?
41|[Poftim]?|Pardon?
42|[Nu știu].|I don't know.
43|[El este] prietenul meu, Tom.|This is my friend Tom.
44|[Bine ai venit]!|Welcome!
45|[Felicitări]!|Congratulations!
46|[Ce înseamnă] cuvântul ăsta?|What does this word mean?
47|[Cum se spune] „thank you” în germană?|How do you say "thank you" in German?
48|[Cum se scrie] asta?|How do you spell that?
49|[Ai putea] să vorbești mai rar, te rog?|Could you speak more slowly, please?
50|[Poți să repeți], te rog?|Can you repeat that, please?
51|[Ce faci] aici?|What are you doing here?
52|[Ce-ți place să faci] în timpul liber?|What do you like to do in your free time?
53|[De când] înveți germana?|How long have you been learning German?
54|[Învăț] germana [de] un an.|I've been learning German for a year.
55|[Pot să] te [întreb] ceva?|May I ask you something?
56|[Am o întrebare].|I have a question.
57|[Habar n-am].|No idea.
58|[Nu contează].|That doesn't matter.
59|[N-ai pentru ce].|My pleasure.
60|[Mulțumesc mult pentru] ajutor.|Thanks a lot for your help.
61|[Mă bucur] să te văd.|I'm happy to see you.
62|[Nu ne-am văzut de mult]!|Long time no see!
63|[Ce mai e nou]?|What's new?
64|[Nimic deosebit], tu ce mai faci?|Not much, and with you?
65|[Cum a fost] ziua ta?|How was your day?
66|[Merge].|So-so.
67|[Nu prea bine], sincer să fiu.|Not so good, to be honest.
68|[Sună bine].|That sounds good.
69|[Așa e].|That's true.
