1|[Cześć], co słychać?|Hi, how's it going?
2|[Dzień dobry]!|Good morning!
3|[Dzień dobry], pani Müller.|Good day, Mrs. Müller.
4|[Dobry wieczór] wszystkim!|Good evening, everyone!
5|[Dobranoc], śpij dobrze!|Good night, sleep well!
6|[Jak się Pan miewa]?|How are you? (formal)
7|[U mnie dobrze], dzięki.|I'm fine, thanks.
8|[A u ciebie]?|And you?
9|[Mam na imię] Anna.|My name is Anna.
10|[Jak masz na imię]?|What's your name?
11|[Miło mi] cię poznać.|Nice to meet you.
12|[Skąd jesteś]?|Where are you from?
13|[Jestem z] USA.|I'm from the USA.
14|[Gdzie mieszkasz]?|Where do you live?
15|[Mieszkam w] Denver.|I live in Denver.
16|[Ile masz lat]?|How old are you?
17|[Mam] trzydzieści [lat].|I'm thirty years old.
18|[Mówisz po] angielsku?|Do you speak English?
19|[Mówię trochę po] niemiecku.|I speak a little German.
20|[Uczę się] niemieckiego.|I'm learning German.
21|[Nie rozumiem] tego.|I don't understand that.
22|[Jeszcze raz], proszę.|Once more, please.
23|[Wolniej], proszę.|Slower, please.
24|[Dziękuję bardzo]!|Thank you very much!
25|[Proszę bardzo]!|You're welcome!
26|[Nie ma problemu].|No problem.
27|[Przepraszam]!|Excuse me!
28|[Przykro mi].|I'm sorry.
29|[Tak, chętnie].|Yes, gladly.
30|[Nie, dziękuję].|No, thank you.
31|[Może].|Maybe.
32|[Jasne]!|All right! / Got it!
33|[Pa]!|Bye!
34|[Do widzenia]!|Goodbye!
35|[Do jutra]!|See you tomorrow!
36|[Na razie]!|See you later!
37|[Do zobaczenia wkrótce]!|See you soon!
38|[Miłego weekendu]!|Have a nice weekend!
39|[Miłego dnia]!|Have a nice day!
40|[Co to jest]?|What is that?
41|[Słucham]?|Pardon?
42|[Nie wiem].|I don't know.
43|[To jest] mój przyjaciel Tom.|This is my friend Tom.
44|[Witaj]!|Welcome!
45|[Gratulacje]!|Congratulations!
46|[Co znaczy] to słowo?|What does this word mean?
47|[Jak się mówi] „thank you" po niemiecku?|How do you say "thank you" in German?
48|[Jak to się pisze]?|How do you spell that?
49|[Mógłbyś] mówić wolniej?|Could you speak more slowly, please?
50|[Możesz to] proszę [powtórzyć]?|Can you repeat that, please?
51|[Co tu robisz]?|What are you doing here?
52|[Co lubisz robić] w wolnym czasie?|What do you like to do in your free time?
53|[Od kiedy] uczysz się niemieckiego?|How long have you been learning German?
54|[Uczę się] niemieckiego [od] roku.|I've been learning German for a year.
