1|[Hi], how's it going?|Hola, ¿qué tal?
2|[Good morning]!|¡Buenos días!
3|[Hello], Mrs. Müller.|Buenas tardes, señora Müller.
4|[Good evening], everyone!|¡Buenas noches a todos!
5|[Good night], sleep well!|¡Buenas noches, que descanses!
6|[How are you doing]?|¿Cómo está usted?
7|[I'm good], thanks.|Estoy bien, gracias.
8|[And you]?|¿Y tú?
9|[My name is] Anna.|Me llamo Anna.
10|[What's your name]?|¿Cómo te llamas?
11|[Nice] to meet you.|Encantado de conocerte.
12|[Where are you from]?|¿De dónde eres?
13|[I'm from] the US.|Soy de Estados Unidos.
14|[Where do you live]?|¿Dónde vives?
15|[I live in] Denver.|Vivo en Denver.
16|[How old are you]?|¿Cuántos años tienes?
17|[I'm] thirty [years old].|Tengo treinta años.
18|[Do you speak] English?|¿Hablas inglés?
19|[I speak a little] German.|Hablo un poco de español.
20|[I'm learning] English.|Estoy aprendiendo español.
21|[I don't understand] that.|No lo entiendo.
22|[One more time], please.|Otra vez, por favor.
23|[Slower], please.|Más despacio, por favor.
24|[Thank you so much]!|¡Muchas gracias!
25|[You're welcome]!|¡De nada!
26|[No problem].|No pasa nada.
27|[Excuse me]!|¡Perdón!
28|[I'm sorry].|Lo siento.
29|[Yes, I'd love to].|Sí, claro, con mucho gusto.
30|[No, thanks].|No, gracias.
31|[Maybe].|Quizás.
32|[Got it]!|¡Vale, entendido!
33|[Bye]!|¡Chao!
34|[Goodbye]!|¡Adiós!
35|[See you tomorrow]!|¡Hasta mañana!
36|[See you later]!|¡Hasta luego!
37|[See you soon]!|¡Hasta pronto!
38|[Have a good weekend]!|¡Buen fin de semana!
39|[Have a nice day]!|¡Que tengas un buen día!
40|[What's that]?|¿Qué es eso?
41|[Sorry, what]?|¿Cómo dices?
42|[I don't know].|No lo sé.
43|[This is] my friend Tom.|Este es mi amigo Tom.
44|[Welcome]!|¡Bienvenido!
45|[Congratulations]!|¡Enhorabuena!
46|[What does] this word [mean]?|¿Qué significa esta palabra?
47|[How do you say] "danke" in English?|¿Cómo se dice "thank you" en español?
48|[How do you spell] that?|¿Cómo se escribe eso?
49|[Could you] speak more slowly, please?|¿Podrías hablar más despacio, por favor?
50|[Can you repeat that], please?|¿Puedes repetirlo, por favor?
51|[What are you doing] here?|¿Qué haces aquí?
52|[What do you like to do] in your free time?|¿Qué te gusta hacer en tu tiempo libre?
53|[How long have you been] learning English?|¿Desde cuándo estudias español?
54|[I've been learning] English [for] a year.|Estudio español desde hace un año.
55|[Can I ask you] something?|¿Puedo preguntarte una cosa?
56|[I have a question].|Tengo una pregunta.
57|[No idea].|Ni idea.
58|[That's okay].|No importa.
59|[My pleasure].|No hay de qué.
60|[Thanks so much for] your help.|Muchas gracias por tu ayuda.
61|[It's so good] to see you.|Me alegro de verte.
62|[Long time no see]!|¡Cuánto tiempo sin verte!
63|[What's new]?|¿Qué hay de nuevo?
64|[Not much], how about you?|No mucho, ¿y tú qué tal?
65|[How was] your day?|¿Qué tal tu día?
66|[So-so].|Regular.
67|[Not so great], to be honest.|No muy bien, la verdad.
68|[That sounds good].|Suena bien.
69|[That's true].|Es verdad.
70|[That's not true].|Eso no es verdad.
71|[Exactly]!|¡Exacto!
72|[Seriously]?|¿En serio?
73|[Really]? I didn't know that.|¿De verdad? No lo sabía.
74|[I think so].|Creo que sí.
75|[I don't think so].|Creo que no.
76|[Wait a minute]!|¡Espera un momento!
77|[Just a moment], please.|Un momento, por favor.
78|[Watch out]!|¡Cuidado!
79|[Good luck]!|¡Mucha suerte!
80|[Have fun]!|¡Que te diviertas!
81|[Have a good trip]!|¡Buen viaje!
82|[Say hi to] your family [for me].|Dale recuerdos a tu familia de mi parte.
83|[How do you pronounce] that?|¿Cómo se pronuncia eso?
84|[I'm not sure].|No estoy seguro.
85|[Can you help me]?|¿Puedes ayudarme?
86|[What's wrong]?|¿Qué pasa?
87|[Nothing special].|Nada especial.
88|[Take it easy]!|¡Cuídate!
89|[Take care of yourself]!|¡Cuídate mucho, eh!
90|[See you then]!|¡Hasta entonces!
91|[I'm not sure if] I understood that right.|No estoy seguro de si lo he entendido bien.
92|[What do you mean by that]?|¿Qué quieres decir con eso?
93|[What do you mean]?|¿En qué sentido lo dices?
94|[I just wanted to say that] I'm really happy.|Solo quería decirte que estoy contento.
95|[Could you tell me] where the train station is?|¿Podría decirme dónde está la estación?
96|[I have a quick question].|Tendría una pregunta.
97|[It's great to see you] again.|Qué alegría volver a verte.
98|[We haven't] seen each other [in forever].|Hacía mucho que no nos veíamos.
99|[What have you been up to] lately?|¿Qué has estado haciendo últimamente?
100|[How have you been]?|¿Cómo te ha ido?
101|[I'm glad to hear that].|Me alegra oír eso.
102|[I'm sorry to hear that].|Siento oír eso.
103|[Oh, I see], now I get it.|Ah, vale, ahora lo entiendo.
104|[That makes sense].|Tiene sentido.
105|[That's really] interesting!|¡Qué interesante!
106|[Is it true that] you're moving?|¿Es verdad que te mudas?
107|[I wanted to ask you if] you have time.|Quería preguntarte si tienes tiempo.
108|[Do you mind if] I open the window?|¿Te importa si abro la ventana?
109|[Don't mention it].|No hay nada que agradecer.
110|[I've gotta go].|Me tengo que ir.
111|[Unfortunately, I have to go now].|Lo siento, pero ahora me tengo que ir.
112|[Let's keep] in touch.|Sigamos en contacto.
113|[Hit me up] when you have time.|Escríbeme cuando tengas tiempo.
114|[Just send me] a text.|Mándame un mensaje y ya está.
115|[Do you have a sec]?|¿Te puedo molestar un momento?
116|[I'm not bothering you], am I?|No te molesto, ¿verdad?
117|[What was that again]?|¿Cómo era eso?
118|[I forgot] your name.|Se me ha olvidado tu nombre.
