1|[Ahoj], jak se máš?|Hi, how's it going?
2|[Dobré ráno]!|Good morning!
3|[Dobrý den], paní Müllerová.|Good day, Mrs. Müller.
4|[Dobrý večer] všem!|Good evening, everyone!
5|[Dobrou noc], hezky se vyspi!|Good night, sleep well!
6|[Jak se máte]?|How are you? (formal)
7|[Mám se dobře], díky.|I'm fine, thanks.
8|[A ty]?|And you?
9|[Jmenuju se] Anna.|My name is Anna.
10|[Jak se jmenuješ]?|What's your name?
11|[Těší mě], že tě poznávám.|Nice to meet you.
12|[Odkud jsi]?|Where are you from?
13|[Jsem z] USA.|I'm from the USA.
14|[Kde bydlíš]?|Where do you live?
15|[Bydlím v] Denveru.|I live in Denver.
16|[Kolik ti je let]?|How old are you?
17|[Je mi] třicet [let].|I'm thirty years old.
18|[Mluvíš] anglicky?|Do you speak English?
19|[Mluvím trochu] německy.|I speak a little German.
20|[Učím se] německy.|I'm learning German.
21|[Tomu nerozumím].|I don't understand that.
22|[Ještě jednou], prosím.|Once more, please.
23|[Pomaleji], prosím.|Slower, please.
24|[Moc děkuju]!|Thank you very much!
25|[Není zač]!|You're welcome!
26|[To nic], v pohodě.|No problem.
27|[Promiňte]!|Excuse me!
28|[Je mi to líto].|I'm sorry.
29|[Ano, rád].|Yes, gladly.
30|[Ne, děkuju].|No, thank you.
31|[Možná].|Maybe.
32|[Jasně]!|All right! / Got it!
33|[Čau]!|Bye!
34|[Na shledanou]!|Goodbye!
35|[Zítra ahoj]!|See you tomorrow!
36|[Zatím ahoj], uvidíme se později!|See you later!
37|[Brzy na viděnou]!|See you soon!
38|[Hezký víkend]!|Have a nice weekend!
39|[Hezký den]!|Have a nice day!
40|[Co je to]?|What is that?
41|[Prosím]? Nerozuměl jsem.|Pardon?
42|[Nevím].|I don't know.
43|[To je] můj kamarád Tom.|This is my friend Tom.
44|[Vítej]!|Welcome!
45|[Gratuluju]!|Congratulations!
46|[Co znamená] tohle slovo?|What does this word mean?
47|[Jak se řekne] „thank you" německy?|How do you say "thank you" in German?
48|[Jak se to píše]?|How do you spell that?
49|[Mohl bys] prosím mluvit pomaleji?|Could you speak more slowly, please?
50|[Můžeš to] prosím [zopakovat]?|Can you repeat that, please?
51|[Co tady děláš]?|What are you doing here?
52|[Co rád děláš] ve volném čase?|What do you like to do in your free time?
53|[Jak dlouho už] se učíš německy?|How long have you been learning German?
54|[Učím se] německy [už] rok.|I've been learning German for a year.
55|[Můžu se] tě na něco [zeptat]?|May I ask you something?
56|[Mám otázku].|I have a question.
57|[Netuším].|No idea.
58|[To nevadí].|That doesn't matter.
59|[Rádo se stalo].|My pleasure.
60|[Moc díky za] tvou pomoc.|Thanks a lot for your help.
61|[Jsem rád], že tě vidím.|I'm happy to see you.
62|[Dlouho jsme se neviděli]!|Long time no see!
63|[Co je nového]?|What's new?
64|[Nic moc], a u tebe?|Not much, and with you?
65|[Jaký byl] tvůj den?|How was your day?
66|[Ujde to].|So-so.
67|[Nijak zvlášť], upřímně řečeno.|Not so good, to be honest.
68|[To zní dobře].|That sounds good.
69|[To je pravda].|That's true.
70|[To není pravda].|That's not true.
71|[Přesně tak]!|Exactly!
72|[Fakt]?|Really?
73|[Opravdu]? To jsem nevěděl.|Really? I didn't know that.
74|[Myslím, že jo].|I think so.
75|[Myslím, že ne].|I don't think so.
76|[Počkej chvilku]!|Wait a moment!
77|[Moment], prosím.|One moment, please.
78|[Pozor]!|Watch out!
79|[Hodně štěstí]!|Good luck!
80|[Užij si to]!|Have fun!
81|[Šťastnou cestu]!|Have a good trip!
82|[Pozdravuj ode mě] rodinu.|Say hi to your family for me.
83|[Jak se to vyslovuje]?|How do you pronounce that?
84|[Nejsem si jistý].|I'm not sure.
85|[Můžeš mi pomoct]?|Can you help me?
86|[Co se děje]?|What's wrong? / What's going on?
87|[Nic zvláštního].|Nothing special.
88|[Měj se]!|Take care!
89|[Dávej na sebe pozor]!|Take care of yourself!
90|[Tak zatím]!|See you then!
91|[Nejsem si jistý, jestli] jsem to správně pochopil.|I'm not sure whether I understood that correctly.
92|[Co tím myslíš]?|What do you mean by that?
93|[Jak to myslíš]?|How do you mean that?
94|[Jen jsem chtěl říct, že] mám radost.|I just wanted to say that I'm happy.
95|[Mohl byste mi říct], kde je nádraží?|Could you tell me where the train station is?
96|[Měl bych jednu otázku].|I'd have a question.
97|[Je fajn tě] zase vidět.|It's nice to see you again.
98|[Dlouho jsme se] spolu [neviděli].|We haven't seen each other in a long time.
99|[Co jsi] poslední dobou [dělal]?|What have you been up to lately?
100|[Jak se ti] vedlo?|How have you been?
101|[To rád slyším].|I'm glad to hear that.
102|[To je mi líto].|I'm sorry to hear that.
