1|[Hei], hvordan går det?|Hi, how's it going?
2|[God morgen]!|Good morning!
3|[God dag], fru Müller.|Good day, Mrs. Müller.
4|[God kveld], alle sammen!|Good evening, everyone!
5|[God natt], sov godt!|Good night, sleep well!
6|[Hvordan har du det]?|How are you? (formal)
7|[Jeg har det bra], takk.|I'm fine, thanks.
8|[Og du]?|And you?
9|[Jeg heter] Anna.|My name is Anna.
10|[Hva heter du]?|What's your name?
11|[Hyggelig] å treffe deg.|Nice to meet you.
12|[Hvor kommer du fra]?|Where are you from?
13|[Jeg kommer fra] USA.|I'm from the USA.
14|[Hvor bor du]?|Where do you live?
15|[Jeg bor i] Denver.|I live in Denver.
16|[Hvor gammel er du]?|How old are you?
17|[Jeg er] tretti [år gammel].|I'm thirty years old.
18|[Snakker du] engelsk?|Do you speak English?
19|[Jeg snakker litt] tysk.|I speak a little German.
20|[Jeg lærer] tysk.|I'm learning German.
21|[Jeg forstår] det [ikke].|I don't understand that.
22|[En gang til], takk.|Once more, please.
23|[Saktere], takk.|Slower, please.
24|[Tusen takk]!|Thank you very much!
25|[Vær så god]!|You're welcome!
26|[Ikke noe problem].|No problem.
27|[Unnskyld]!|Excuse me!
28|[Jeg beklager].|I'm sorry.
29|[Ja, gjerne].|Yes, gladly.
30|[Nei takk].|No, thank you.
31|[Kanskje].|Maybe.
32|[Greit]!|All right! / Got it!
33|[Ha det]!|Bye!
34|[Adjø]!|Goodbye!
35|[Vi ses i morgen]!|See you tomorrow!
36|[Vi ses senere]!|See you later!
37|[Vi ses snart]!|See you soon!
38|[God helg]!|Have a nice weekend!
39|[Ha en fin dag]!|Have a nice day!
40|[Hva er det]?|What is that?
41|[Unnskyld, hva sa du]?|Pardon?
42|[Jeg vet ikke].|I don't know.
43|[Dette er] vennen min Tom.|This is my friend Tom.
44|[Velkommen]!|Welcome!
45|[Gratulerer]!|Congratulations!
46|[Hva betyr] dette ordet?|What does this word mean?
47|[Hvordan sier man] «thank you» på tysk?|How do you say "thank you" in German?
48|[Hvordan staver man] det?|How do you spell that?
49|[Kunne du] snakket litt saktere?|Could you speak more slowly, please?
50|[Kan du] gjenta [det], er du snill?|Can you repeat that, please?
51|[Hva gjør du] her?|What are you doing here?
52|[Hva liker du å gjøre] på fritiden?|What do you like to do in your free time?
53|[Hvor lenge] har du lært tysk?|How long have you been learning German?
54|[Jeg har lært] tysk i ett år.|I've been learning German for a year.
55|[Kan jeg spørre] deg om noe?|May I ask you something?
56|[Jeg har et spørsmål].|I have a question.
57|[Aner ikke].|No idea.
58|[Det gjør ingenting].|That doesn't matter.
59|[Bare hyggelig].|My pleasure.
60|[Tusen takk for] hjelpen.|Thanks a lot for your help.
61|[Så hyggelig] å se deg.|I'm happy to see you.
62|[Lenge siden sist]!|Long time no see!
63|[Hva er nytt]?|What's new?
64|[Ikke så mye], og med deg?|Not much, and with you?
65|[Hvordan var] dagen din?|How was your day?
66|[Sånn passe].|So-so.
67|[Ikke så bra], for å være ærlig.|Not so good, to be honest.
68|[Det høres bra ut].|That sounds good.
69|[Det stemmer].|That's true.
70|[Det stemmer ikke].|That's not true.
71|[Akkurat]!|Exactly!
72|[Seriøst]?|Really?
73|[Virkelig]? Det visste jeg ikke.|Really? I didn't know that.
74|[Jeg tror det].|I think so.
75|[Jeg tror ikke det].|I don't think so.
76|[Vent litt]!|Wait a moment!
77|[Et øyeblikk], takk.|One moment, please.
78|[Pass deg]!|Watch out!
79|[Lykke til]!|Good luck!
80|[Kos deg]!|Have fun!
81|[God tur]!|Have a good trip!
82|[Hils] familien din [fra meg].|Say hi to your family for me.
83|[Hvordan uttaler man] det?|How do you pronounce that?
84|[Jeg er ikke sikker].|I'm not sure.
85|[Kan du hjelpe meg]?|Can you help me?
86|[Hva er det som skjer]?|What's wrong? / What's going on?
87|[Ikke noe spesielt].|Nothing special.
88|[Ha det bra]!|Take care!
89|[Ta vare på deg selv]!|Take care of yourself!
90|[Vi ses]!|See you then!
91|[Jeg er ikke sikker på om] jeg forsto det riktig.|I'm not sure whether I understood that correctly.
92|[Hva mener du med det]?|What do you mean by that?
93|[Hvordan mener du det]?|How do you mean that?
94|[Jeg ville bare si at] jeg er glad.|I just wanted to say that I'm happy.
95|[Kan du si meg] hvor jernbanestasjonen er?|Could you tell me where the train station is?
96|[Jeg har et lite spørsmål].|I'd have a question.
97|[Så hyggelig å se deg] igjen.|It's nice to see you again.
98|[Vi har ikke sett hverandre] på lenge.|We haven't seen each other in a long time.
99|[Hva har du] drevet med i det siste?|What have you been up to lately?
100|[Hvordan har du hatt det]?|How have you been?
101|[Det er godt å høre].|I'm glad to hear that.
102|[Det var leit å høre].|I'm sorry to hear that.
103|[Ja vel], nå forstår jeg.|Oh, I see, now I understand.
104|[Det gir mening].|That makes sense.
105|[Det var jo] interessant!|That's interesting!
106|[Stemmer det at] du skal flytte?|Is it true that you're moving?
107|[Jeg ville spørre deg om] du har tid.|I wanted to ask you whether you have time.
108|[Har du noe imot at] jeg åpner vinduet?|Do you mind if I open the window?
109|[Ingen årsak].|Don't mention it.
110|[Jeg må stikke].|I have to go.
111|[Dessverre må jeg gå nå].|Unfortunately I have to go now.
112|[La oss holde] kontakten.|Let's stay in touch.
113|[Si ifra] når du har tid.|Get in touch when you have time.
114|[Bare send meg] en melding.|Just send me a message.
115|[Kan jeg forstyrre deg litt]?|Can I bother you for a second?
116|[Jeg forstyrrer vel ikke]?|I'm not disturbing you, am I?
117|[Hva var det igjen]?|What was that again?
118|[Jeg har glemt] navnet ditt.|I've forgotten your name.
119|[Hvor var vi]?|Where were we?
120|[Forresten], jeg har nyheter.|By the way, I have news.
121|[Apropos] ferie, hvor skal du?|Speaking of vacation, where are you going?
122|[Det avhenger av situasjonen].|That depends.
123|[Det kommer an på].|It depends.
124|[Jeg bryr meg ikke om] hva vi gjør.|I don't care what we do.
125|[Jeg er spent på] hva som skjer.|I'm curious to see what happens.
126|[Det fikk jeg ikke med meg].|I didn't catch that.
127|[Kan du forklare det på en annen måte]?|Can you explain that differently?
128|[Jeg mente egentlig] noe annet.|I actually meant something else.
129|[Jeg forsnakket meg].|I misspoke.
130|[Det var bare en spøk].|That was just a joke.
131|[Jeg har det travelt].|I'm in a hurry.
132|[Så fint at du er her].|Nice that you're here.
133|[Kom deg trygt hjem]!|Get home safely!
134|[Føl deg som hjemme].|Make yourself at home.
135|[Nåja], sånn er livet.|Oh well, that's life.
136|[Hvis jeg ikke tar feil], har vi truffet hverandre før.|If I'm not mistaken, we've met before.
137|[Det høres kjent ut].|That sounds familiar.
138|[Du ser kjent ut].|You look familiar.
139|[Det har gått meg hus forbi].|That slipped my mind.
140|[Jeg har det på tungen].|It's on the tip of my tongue.
141|[Jeg er lutter øre].|I'm all ears.
142|[For å være ærlig] har jeg ikke lyst.|To be honest, I don't feel like it.
143|[Ærlig talt] synes jeg det er rart.|Honestly, I find that strange.
144|[Så vidt jeg vet], har han allerede gått.|As far as I know, he's already gone.
145|[Uansett], vi må fortsette.|Be that as it may, we have to keep going.
146|[Kort sagt]: Det gikk ikke.|In short: it didn't work out.
147|[Med andre ord], vi begynner på nytt.|In other words, we're starting over.
148|[Så det betyr at] du ikke kommer?|So that means you're not coming?
149|[Som sagt], jeg kan ikke i dag.|As I said, I can't today.
150|[Jeg ville ikke avbryte deg].|I didn't mean to interrupt you.
151|[Kan jeg skyte inn noe]?|May I quickly add something?
152|[La meg snakke ferdig]!|Let me finish!
153|[Hva er det du prøver å si]?|What are you getting at?
154|[Det er ikke det som er poenget].|That's not the point.
155|[Det er lett for deg å si].|That's easy for you to say.
156|[Dette er gresk for meg].|It's all Greek to me.
157|[Du har rett], det var min feil.|You're right, that was my mistake.
158|[Der har du] et [poeng].|You do have a point there.
159|[Ikke ta det ille opp], men jeg må avlyse.|Don't take it the wrong way, but I have to cancel.
160|[Ikke vondt ment].|No offense.
161|[Glem det].|Let's forget about it.
162|[Det var ikke sånn ment].|I didn't mean it like that.
163|[Ja, da setter vi i gang]!|Well, let's get going!
164|[Vi får se].|We'll see.
165|[Hvem vet]?|Who knows?
166|[Det kommer ikke på tale].|That's out of the question.
167|[Jeg er med]!|I'm in!
168|[Heldigvis] gikk det likevel.|Luckily it still worked out.
169|[Dessverre] må jeg avlyse.|Unfortunately I have to cancel.
170|[Jeg misforsto] deg.|I misunderstood you.
171|[Det var det jeg ville fram til].|That's what I was getting at.
172|[Jeg krysser fingrene for deg]!|I'll keep my fingers crossed for you!
173|[Tvi tvi]!|Break a leg!
174|[Ikke tenk på det].|Don't worry about it.
175|[Knekk og bein]!|Break a leg! (good luck)
176|[Mellom oss sagt], prosjektet har feilet.|Between you and me, the project failed.
177|[Hvis jeg skal være ærlig], hadde jeg mine tvil.|If I'm honest, I had doubts.
178|[Med mindre] du har en bedre idé.|Unless you have a better idea.
179|[Det ene utelukker ikke det andre].|One doesn't rule out the other.
180|[Det er en annen sak].|That's a different story.
181|[Det er ikke mitt bord].|That's not my problem.
182|[Nå må vi komme til saken].|Let's get to the point.
183|[For å si det rett ut]: Vi trenger mer tid.|To get to the point: we need more time.
184|[Som det så fint heter]: Øvelse gjør mester.|As the saying goes: practice makes perfect.
185|[Så å si].|So to speak.
186|[I bunn og grunn] har du rett.|Basically, you're right.
187|[Strengt tatt] er det ikke lov.|Strictly speaking, that isn't allowed.
188|[Bortsett fra det] har jeg det bra.|Apart from that, I'm doing well.
