1|[Hoi], hoe gaat het?|Hi, how's it going?
2|[Goedemorgen]!|Good morning!
3|[Goedendag], mevrouw Müller.|Good day, Mrs. Müller.
4|[Goedenavond] allemaal!|Good evening, everyone!
5|[Welterusten], slaap lekker!|Good night, sleep well!
6|[Hoe gaat het met u]?|How are you? (formal)
7|[Het gaat goed met me], dank je.|I'm fine, thanks.
8|[En met jou]?|And you?
9|[Ik heet] Anna.|My name is Anna.
10|[Hoe heet je]?|What's your name?
11|[Leuk] je te ontmoeten.|Nice to meet you.
12|[Waar kom je vandaan]?|Where are you from?
13|[Ik kom uit] de Verenigde Staten.|I'm from the USA.
14|[Waar woon je]?|Where do you live?
15|[Ik woon in] Denver.|I live in Denver.
16|[Hoe oud ben je]?|How old are you?
17|[Ik ben] dertig [jaar oud].|I'm thirty years old.
18|[Spreek jij] Engels?|Do you speak English?
19|[Ik spreek een beetje] Nederlands.|I speak a little German.
20|[Ik leer] Nederlands.|I'm learning German.
21|[Ik begrijp] dat [niet].|I don't understand that.
22|[Nog een keer], alsjeblieft.|Once more, please.
23|[Langzamer], alsjeblieft.|Slower, please.
24|[Dank je wel]!|Thank you very much!
25|[Graag gedaan]!|You're welcome!
26|[Geen probleem].|No problem.
27|[Pardon]!|Excuse me!
28|[Het spijt me].|I'm sorry.
29|[Ja, graag].|Yes, gladly.
30|[Nee, dank je].|No, thank you.
31|[Misschien].|Maybe.
32|[Helemaal goed]!|All right! / Got it!
33|[Doei]!|Bye!
34|[Tot ziens]!|Goodbye!
35|[Tot morgen]!|See you tomorrow!
36|[Tot straks]!|See you later!
37|[Tot snel]!|See you soon!
38|[Fijn weekend]!|Have a nice weekend!
39|[Nog een fijne dag]!|Have a nice day!
40|[Wat is dat]?|What is that?
41|[Wat zeg je]?|Pardon?
42|[Ik weet het niet].|I don't know.
43|[Dit is] mijn vriend Tom.|This is my friend Tom.
44|[Welkom]!|Welcome!
45|[Gefeliciteerd]!|Congratulations!
46|[Wat betekent] dit woord?|What does this word mean?
47|[Hoe zeg je] 'thank you' in het Nederlands?|How do you say "thank you" in German?
48|[Hoe schrijf je] dat?|How do you spell that?
49|[Zou je] alsjeblieft wat langzamer kunnen praten?|Could you speak more slowly, please?
50|[Kun je dat] alsjeblieft [herhalen]?|Can you repeat that, please?
51|[Wat doe jij] hier?|What are you doing here?
52|[Wat doe je graag] in je vrije tijd?|What do you like to do in your free time?
53|[Hoe lang] leer je al Nederlands?|How long have you been learning German?
54|[Ik leer al] een jaar Nederlands.|I've been learning German for a year.
55|[Mag ik] je iets [vragen]?|May I ask you something?
56|[Ik heb een vraag].|I have a question.
57|[Geen idee].|No idea.
58|[Dat maakt niet uit].|That doesn't matter.
59|[Met plezier].|My pleasure.
60|[Heel erg bedankt voor] je hulp.|Thanks a lot for your help.
61|[Ik vind het leuk] je te zien.|I'm happy to see you.
62|[Lang niet gezien]!|Long time no see!
63|[Wat is er nieuw]?|What's new?
64|[Niet veel], en bij jou?|Not much, and with you?
65|[Hoe was] je dag?|How was your day?
66|[Het gaat wel].|So-so.
67|[Niet zo goed], eerlijk gezegd.|Not so good, to be honest.
68|[Dat klinkt goed].|That sounds good.
69|[Dat klopt].|That's true.
70|[Dat klopt niet].|That's not true.
71|[Precies]!|Exactly!
72|[Echt]?|Really?
73|[Werkelijk]? Dat wist ik niet.|Really? I didn't know that.
74|[Ik denk het wel].|I think so.
75|[Ik denk het niet].|I don't think so.
76|[Wacht even]!|Wait a moment!
77|[Een ogenblikje], alsjeblieft.|One moment, please.
78|[Kijk uit]!|Watch out!
79|[Veel succes]!|Good luck!
80|[Veel plezier]!|Have fun!
81|[Goede reis]!|Have a good trip!
82|[Doe] je familie [de groeten van mij].|Say hi to your family for me.
83|[Hoe spreek je] dat [uit]?|How do you pronounce that?
84|[Ik weet het niet zeker].|I'm not sure.
85|[Kun je me helpen]?|Can you help me?
86|[Wat is er aan de hand]?|What's wrong? / What's going on?
87|[Niets bijzonders].|Nothing special.
88|[Het ga je goed]!|Take care!
89|[Pas goed op jezelf]!|Take care of yourself!
90|[Tot dan]!|See you then!
91|[Ik weet niet zeker of] ik dat goed begrepen heb.|I'm not sure whether I understood that correctly.
92|[Wat bedoel je daarmee]?|What do you mean by that?
93|[Hoe bedoel je]?|How do you mean that?
94|[Ik wilde alleen zeggen dat] ik blij ben.|I just wanted to say that I'm happy.
95|[Kunt u me zeggen] waar het station is?|Could you tell me where the train station is?
96|[Ik heb nog een vraagje].|I'd have a question.
97|[Wat leuk om je] weer te zien.|It's nice to see you again.
98|[We hebben elkaar lang niet] gezien.|We haven't seen each other in a long time.
99|[Wat heb je] de laatste tijd [zoal gedaan]?|What have you been up to lately?
100|[Hoe is het je] vergaan?|How have you been?
101|[Dat is fijn om te horen].|I'm glad to hear that.
102|[Wat vervelend om te horen].|I'm sorry to hear that.
103|[O zo], nu snap ik het.|Oh, I see, now I understand.
104|[Dat is logisch].|That makes sense.
105|[Dat is echt] interessant!|That's interesting!
106|[Klopt het dat] je gaat verhuizen?|Is it true that you're moving?
107|[Ik wilde je vragen of] je tijd hebt.|I wanted to ask you whether you have time.
108|[Vind je het erg als] ik het raam opendoe?|Do you mind if I open the window?
109|[Niets te danken].|Don't mention it.
110|[Ik moet gaan].|I have to go.
111|[Ik moet nu helaas gaan].|Unfortunately I have to go now.
112|[Laten we] contact [houden].|Let's stay in touch.
113|[Laat iets van je horen] als je tijd hebt.|Get in touch when you have time.
114|[Stuur me gewoon] een berichtje.|Just send me a message.
115|[Mag ik je even storen]?|Can I bother you for a second?
116|[Ik stoor toch niet], hè?|I'm not disturbing you, am I?
117|[Hoe zat het ook alweer]?|What was that again?
118|[Ik ben] je naam [vergeten].|I've forgotten your name.
119|[Waar waren we gebleven]?|Where were we?
120|[Trouwens], ik heb nieuws.|By the way, I have news.
121|[Over] vakantie [gesproken], waar ga jij heen?|Speaking of vacation, where are you going?
122|[Dat hangt ervan af].|That depends.
123|[Het ligt eraan].|It depends.
124|[Het maakt mij niet uit] wat we doen.|I don't care what we do.
125|[Ik ben benieuwd] wat er gebeurt.|I'm curious to see what happens.
126|[Dat heb ik niet meegekregen].|I didn't catch that.
127|[Kun je het op een andere manier uitleggen]?|Can you explain that differently?
128|[Ik bedoelde eigenlijk] iets anders.|I actually meant something else.
129|[Ik versprak me].|I misspoke.
130|[Het was maar een grapje].|That was just a joke.
131|[Ik heb haast].|I'm in a hurry.
132|[Fijn dat je er bent].|Nice that you're here.
133|[Kom goed thuis]!|Get home safely!
134|[Doe alsof je thuis bent].|Make yourself at home.
135|[Tja], zo gaat het in het leven.|Oh well, that's life.
136|[Als ik me niet vergis], hebben we elkaar al eens ontmoet.|If I'm not mistaken, we've met before.
137|[Komt me bekend voor].|That sounds familiar.
138|[Jij komt me bekend voor].|You look familiar.
139|[Dat ben ik vergeten].|That slipped my mind.
140|[Het ligt op het puntje van mijn tong].|It's on the tip of my tongue.
141|[Ik ben een en al oor].|I'm all ears.
142|[Om eerlijk te zijn] heb ik er geen zin in.|To be honest, I don't feel like it.
143|[Eerlijk gezegd] vind ik dat raar.|Honestly, I find that strange.
144|[Voor zover ik weet] is hij al weg.|As far as I know, he's already gone.
145|[Hoe dan ook], we moeten verder.|Be that as it may, we have to keep going.
146|[Kortom]: het is niet gelukt.|In short: it didn't work out.
147|[Met andere woorden], we beginnen opnieuw.|In other words, we're starting over.
148|[Dus dat betekent] dat je niet komt?|So that means you're not coming?
149|[Zoals gezegd], ik kan vandaag niet.|As I said, I can't today.
150|[Ik wilde je niet onderbreken].|I didn't mean to interrupt you.
151|[Mag ik even iets toevoegen]?|May I quickly add something?
152|[Laat me uitpraten]!|Let me finish!
153|[Waar wil je naartoe]?|What are you getting at?
154|[Daar gaat het niet om].|That's not the point.
155|[Dat zeg jij makkelijk].|That's easy for you to say.
156|[Ik snap er helemaal niets van].|It's all Greek to me.
157|[Je hebt gelijk], dat was mijn fout.|You're right, that was my mistake.
158|[Daar heb je] wel een [punt].|You do have a point there.
159|[Neem het me niet kwalijk], maar ik moet afzeggen.|Don't take it the wrong way, but I have to cancel.
160|[Niet persoonlijk bedoeld].|No offense.
161|[Zand erover].|Let's forget about it.
162|[Het was niet zo bedoeld].|I didn't mean it like that.
163|[Nou, kom op dan]!|Well, let's get going!
164|[We zien wel].|We'll see.
165|[Wie weet]?|Who knows?
166|[Daar is geen sprake van].|That's out of the question.
167|[Ik doe mee]!|I'm in!
168|[Gelukkig] is het toch nog gelukt.|Luckily it still worked out.
169|[Helaas] moet ik afzeggen.|Unfortunately I have to cancel.
170|[Ik heb] je [verkeerd begrepen].|I misunderstood you.
171|[Daar wilde ik naartoe].|That's what I was getting at.
172|[Ik duim voor je]!|I'll keep my fingers crossed for you!
173|[Succes ermee]!|Break a leg!
174|[Maak je geen zorgen].|Don't worry about it.
175|[Heel veel succes]!|Break a leg! (good luck)
176|[Onder ons gezegd], het project is mislukt.|Between you and me, the project failed.
177|[Als ik eerlijk ben], had ik mijn twijfels.|If I'm honest, I had doubts.
178|[Tenzij] je een beter idee hebt.|Unless you have a better idea.
179|[Het een sluit het ander niet uit].|One doesn't rule out the other.
180|[Dat is een ander verhaal].|That's a different story.
181|[Dat is mijn pakkie-an niet].|That's not my problem.
182|[Nu even spijkers met koppen slaan].|Let's get to the point.
183|[Om kort te gaan]: we hebben meer tijd nodig.|To get to the point: we need more time.
184|[Zoals het spreekwoord zegt]: oefening baart kunst.|As the saying goes: practice makes perfect.
185|[Om zo te zeggen].|So to speak.
186|[In de grond] heb je gelijk.|Basically, you're right.
187|[Strikt genomen] mag dat niet.|Strictly speaking, that isn't allowed.
188|[Afgezien daarvan] gaat het goed met me.|Apart from that, I'm doing well.
189|[Naar alles wat ik gehoord heb] was het geweldig.|From everything I've heard, it was great.
190|[Ik wil je niet beledigen], maar dat was onbeleefd.|I don't want to offend you, but that was rude.
191|[Ik laat me graag van het tegendeel overtuigen].|I'm happy to be proven wrong.
192|[Dat valt niet te ontkennen].|There's no denying that.
193|[Dat spreekt voor zich].|That goes without saying.
194|[Als een schot] kwam het antwoord.|The answer came like a shot.
195|[Dat had ik niet op mijn radar].|That wasn't on my radar.
196|[Daar ben ik het helemaal met je eens].|I'm completely with you on that.
197|[Om een lang verhaal kort te maken]: we gaan verhuizen.|Long story short: we're moving.
198|[Daar vraag je me wat].|You've got me there. (I don't know)
199|[Dat laat ik in het midden].|That remains to be seen.
200|[Ik ben sprakeloos].|I'm speechless.
201|[Mag ik me even voorstellen]? Ik ben de nieuwe buurman.|May I briefly introduce myself? I'm the new neighbor.
202|[We kennen elkaar nog niet], toch?|We haven't met yet, have we?
203|[Ik geloof dat we elkaar al eens ontmoet hebben].|I think we've met before.
204|[Hoe ken jij] Lisa eigenlijk?|How do you actually know Lisa?
205|[Wat brengt jou] hier?|What brings you here?
206|[Hoe lang ben je al] in de stad?|How long have you been in the city?
207|[Kom je hier vaker]?|Do you come here often?
208|[Wat doe je zoal] als je niet werkt?|What do you get up to when you're not working?
209|[Ik wilde even van me laten horen].|I just wanted to check in quickly.
210|[Leuk om van je te horen]!|Nice to hear from you!
211|[Sorry dat ik nu pas reageer].|Sorry I'm only getting back to you now.
212|[Ik hoop dat het goed met je gaat].|I hope you're doing well.
213|[Zou je dat even kunnen spellen]?|Could you spell that, please?
214|[Ik verstond je niet goed].|I didn't catch what you said.
215|[De verbinding is] behoorlijk [slecht].|The connection is pretty bad.
216|[Je bent heel zacht], kun je harder praten?|You're very quiet, can you speak louder?
217|[Hoor je me]?|Can you hear me?
218|[Ik bel je zo terug].|I'll call you right back.
219|[Zeg], heb je vandaag al plannen?|Say, do you have any plans today?
220|[Heb je even tijd]?|Would you have a moment?
221|[Ik wil je niet ophouden].|I don't want to keep you.
222|[Ik laat je weer verder werken].|I'll let you get back to work now.
223|[Het was leuk om even met je te kletsen].|It was nice chatting with you.
224|[Laat van je horen]!|Keep in touch!
225|[Doe] je moeder [de hartelijke groeten].|Give your mother my love.
226|[Dank je, jij ook]!|Thanks, you too!
227|[Dat is aardig van je], dank je.|That's kind of you, thanks.
228|[Dat zou echt lief zijn].|That would be really sweet.
229|[Ik hoop dat ik niet stoor].|I hope I'm not interrupting.
230|[Sorry dat ik je zo overval].|Sorry to spring this on you.
231|[Mag ik je tutoyeren]?|May I use "du" with you?
232|[Zullen we elkaar tutoyeren]?|Shall we switch to "du"?
233|[U mag gerust je tegen me zeggen].|You're welcome to call me "du".
234|[Ik wilde niet onbeleefd zijn].|I didn't mean to be rude.
235|[Dan hebben we elkaar blijkbaar verkeerd begrepen].|It seems we misunderstood each other.
236|[Begrijp ik het goed] dat je niet komt?|Do I understand correctly that you're not coming?
237|[Waar ik naartoe wil], is het volgende.|What I'm getting at is the following.
238|[Kort en krachtig]: ik doe mee.|In a nutshell: I'm in.
239|[Om het kort te houden], we hebben het gered.|To make a long story short, we did it.
240|[Ik zal het kort houden].|I'll keep it short.
241|[Ik wil er niet omheen draaien].|I don't want to beat around the bush.
242|[Zeg het gewoon eerlijk].|Just say it straight out.
243|[Ik moet je iets bekennen].|I have to confess something to you.
244|[Onder ons], ik ben zenuwachtig.|Just between us, I'm nervous.
245|[Hou dat alsjeblieft voor je].|Please keep that to yourself.
246|[Dat blijft tussen ons].|That stays between us.
247|[Ik bedoelde het niet zo].|I didn't mean it that way.
248|[Nu je het zegt], valt het mij ook op.|Now that you mention it, I notice it too.
249|[O, dat was ik bijna vergeten]!|Oh, I almost forgot!
250|[Nu we het er toch over hebben]: heb jij mijn sleutel?|While we're at it: do you have my key?
251|[Om op je vraag terug te komen]: ja, graag.|To come back to your question: yes, gladly.
252|[Wat ik nog wilde zeggen]: bedankt voor gisteren.|What I also wanted to say: thanks for yesterday.
253|[Hoe zal ik het zeggen]? Het is ingewikkeld.|How should I put it? It's complicated.
254|[Ik kan even niet op het woord komen].|The word escapes me right now.
255|[Hoe heet dat ook alweer]?|What do you call that again?
256|[Je weet wel wat ik bedoel].|You know what I mean.
257|[Ik kan je niet helemaal volgen].|I can't quite follow you.
