1|[Bok], kako si?|Hi, how's it going?
2|[Dobro jutro]!|Good morning!
3|[Dobar dan], gospođo Müller.|Good day, Mrs. Müller.
4|[Dobra večer] svima!|Good evening, everyone!
5|[Laku noć], lijepo spavaj!|Good night, sleep well!
6|[Kako ste]?|How are you? (formal)
7|[Dobro sam], hvala.|I'm fine, thanks.
8|[A ti]?|And you?
9|[Zovem se] Anna.|My name is Anna.
10|[Kako se zoveš]?|What's your name?
11|[Drago mi je] što smo se upoznali.|Nice to meet you.
12|[Odakle si]?|Where are you from?
13|[Ja sam iz] SAD-a.|I'm from the USA.
14|[Gdje živiš]?|Where do you live?
15|[Živim u] Denveru.|I live in Denver.
16|[Koliko imaš godina]?|How old are you?
17|[Imam] trideset [godina].|I'm thirty years old.
18|[Govoriš li] engleski?|Do you speak English?
19|[Govorim malo] njemački.|I speak a little German.
20|[Učim] njemački.|I'm learning German.
21|[Ne razumijem] to.|I don't understand that.
22|[Još jednom], molim.|Once more, please.
23|[Sporije], molim.|Slower, please.
24|[Hvala lijepa]!|Thank you very much!
25|[Nema na čemu]!|You're welcome!
26|[Nema problema].|No problem.
27|[Oprostite]!|Excuse me!
28|[Žao mi je].|I'm sorry.
29|[Da, rado].|Yes, gladly.
30|[Ne, hvala].|No, thank you.
31|[Možda].|Maybe.
32|[U redu]!|All right! / Got it!
33|[Bok bok]!|Bye!
34|[Doviđenja]!|Goodbye!
35|[Vidimo se sutra]!|See you tomorrow!
36|[Vidimo se kasnije]!|See you later!
37|[Vidimo se uskoro]!|See you soon!
38|[Ugodan vikend]!|Have a nice weekend!
39|[Ugodan dan]!|Have a nice day!
40|[Što je to]?|What is that?
41|[Molim]?|Pardon?
42|[Ne znam].|I don't know.
43|[Ovo je] moj prijatelj Tom.|This is my friend Tom.
44|[Dobro došli]!|Welcome!
45|[Čestitam]!|Congratulations!
46|[Što znači] ova riječ?|What does this word mean?
47|[Kako se kaže] „thank you" na njemačkom?|How do you say "thank you" in German?
48|[Kako se to piše]?|How do you spell that?
49|[Bi li mogao] govoriti malo sporije, molim te?|Could you speak more slowly, please?
50|[Možeš li to ponoviti], molim te?|Can you repeat that, please?
51|[Što radiš] ovdje?|What are you doing here?
52|[Što voliš raditi] u slobodno vrijeme?|What do you like to do in your free time?
53|[Otkad] učiš njemački?|How long have you been learning German?
54|[Učim] njemački [već] godinu dana.|I've been learning German for a year.
55|[Smijem li te] nešto [pitati]?|May I ask you something?
56|[Imam jedno pitanje].|I have a question.
57|[Nemam pojma].|No idea.
58|[Nema veze].|That doesn't matter.
59|[Drage volje].|My pleasure.
60|[Puno hvala na] pomoći.|Thanks a lot for your help.
61|[Drago mi je] što te vidim.|I'm happy to see you.
62|[Dugo se nismo vidjeli]!|Long time no see!
63|[Što ima novo]?|What's new?
64|[Ništa posebno], a kod tebe?|Not much, and with you?
65|[Kakav ti je bio] dan?|How was your day?
66|[Onako].|So-so.
67|[Ne baš dobro], iskreno rečeno.|Not so good, to be honest.
68|[To zvuči dobro].|That sounds good.
69|[Istina je].|That's true.
70|[To nije istina].|That's not true.
71|[Točno]!|Exactly!
72|[Stvarno]?|Really?
73|[Ozbiljno]? Nisam to znao.|Really? I didn't know that.
74|[Mislim da da].|I think so.
75|[Mislim da ne].|I don't think so.
76|[Čekaj malo]!|Wait a moment!
77|[Samo trenutak], molim.|One moment, please.
78|[Pazi]!|Watch out!
79|[Sretno]!|Good luck!
80|[Dobro se zabavi]!|Have fun!
81|[Sretan put]!|Have a good trip!
82|[Pozdravi] obitelj [od mene].|Say hi to your family for me.
83|[Kako se to izgovara]?|How do you pronounce that?
84|[Nisam siguran].|I'm not sure.
85|[Možeš li mi pomoći]?|Can you help me?
86|[Što se događa]?|What's wrong? / What's going on?
87|[Ništa naročito].|Nothing special.
88|[Drži se]!|Take care!
89|[Čuvaj se]!|Take care of yourself!
90|[Vidimo se onda]!|See you then!
91|[Nisam siguran jesam li] to dobro razumio.|I'm not sure whether I understood that correctly.
92|[Kako to misliš]?|What do you mean by that?
93|[Što time želiš reći]?|How do you mean that?
94|[Samo sam htio reći da] mi je drago.|I just wanted to say that I'm happy.
95|[Biste li mi mogli reći] gdje je željeznički kolodvor?|Could you tell me where the train station is?
96|[Imao bih jedno pitanje].|I'd have a question.
97|[Lijepo te] ponovno vidjeti.|It's nice to see you again.
98|[Dugo se nismo] vidjeli.|We haven't seen each other in a long time.
99|[Što si] u zadnje vrijeme [radio]?|What have you been up to lately?
100|[Kako si mi] bio?|How have you been?
101|[Drago mi je to čuti].|I'm glad to hear that.
102|[Žao mi je to čuti].|I'm sorry to hear that.
103|[Aha], sad razumijem.|Oh, I see, now I understand.
