1|[Hej], hvordan går det?|Hi, how's it going?
2|[Godmorgen]!|Good morning!
3|[Goddag], fru Müller.|Good day, Mrs. Müller.
4|[Godaften] allesammen!|Good evening, everyone!
5|[Godnat], sov godt!|Good night, sleep well!
6|[Hvordan har du det]?|How are you? (formal)
7|[Jeg har det godt], tak.|I'm fine, thanks.
8|[Og dig]?|And you?
9|[Jeg hedder] Anna.|My name is Anna.
10|[Hvad hedder du]?|What's your name?
11|[Rart] at møde dig.|Nice to meet you.
12|[Hvor kommer du fra]?|Where are you from?
13|[Jeg kommer fra] USA.|I'm from the USA.
14|[Hvor bor du]?|Where do you live?
15|[Jeg bor i] Denver.|I live in Denver.
16|[Hvor gammel er du]?|How old are you?
17|[Jeg er] tredive [år gammel].|I'm thirty years old.
18|[Taler du] engelsk?|Do you speak English?
19|[Jeg taler lidt] dansk.|I speak a little German.
20|[Jeg lærer] dansk.|I'm learning German.
21|[Jeg forstår] det [ikke].|I don't understand that.
22|[En gang til], tak.|Once more, please.
23|[Langsommere], tak.|Slower, please.
24|[Mange tak]!|Thank you very much!
25|[Selv tak]!|You're welcome!
26|[Intet problem].|No problem.
27|[Undskyld]!|Excuse me!
28|[Jeg er ked af det].|I'm sorry.
29|[Ja, gerne].|Yes, gladly.
30|[Nej tak].|No, thank you.
31|[Måske].|Maybe.
32|[Det er i orden]!|All right! / Got it!
33|[Hej hej]!|Bye!
34|[Farvel]!|Goodbye!
35|[Vi ses i morgen]!|See you tomorrow!
36|[Vi ses senere]!|See you later!
37|[Vi ses snart]!|See you soon!
38|[God weekend]!|Have a nice weekend!
39|[Hav en god dag]!|Have a nice day!
40|[Hvad er det]?|What is that?
41|[Hvad siger du]?|Pardon?
42|[Det ved jeg ikke].|I don't know.
43|[Det her er] min ven Tom.|This is my friend Tom.
44|[Velkommen]!|Welcome!
45|[Tillykke]!|Congratulations!
46|[Hvad betyder] det her ord?|What does this word mean?
47|[Hvordan siger man] "thank you" på dansk?|How do you say "thank you" in German?
48|[Hvordan staver man] det?|How do you spell that?
49|[Kunne du] tale lidt langsommere?|Could you speak more slowly, please?
50|[Kan du] lige [gentage det]?|Can you repeat that, please?
51|[Hvad laver du] her?|What are you doing here?
52|[Hvad kan du lide at lave] i din fritid?|What do you like to do in your free time?
53|[Hvor længe har du] lært dansk?|How long have you been learning German?
54|[Jeg har lært] dansk [i] et år.|I've been learning German for a year.
55|[Må jeg spørge] dig om noget?|May I ask you something?
56|[Jeg har et spørgsmål].|I have a question.
57|[Ingen anelse].|No idea.
58|[Det gør ikke noget].|That doesn't matter.
59|[Det var så lidt].|My pleasure.
60|[Tusind tak for] din hjælp.|Thanks a lot for your help.
61|[Jeg er glad for] at se dig.|I'm happy to see you.
62|[Det er længe siden]!|Long time no see!
63|[Hvad så, noget nyt]?|What's new?
64|[Ikke så meget], hvad med dig?|Not much, and with you?
65|[Hvordan var] din dag?|How was your day?
66|[Det går].|So-so.
67|[Ikke så godt], for at være ærlig.|Not so good, to be honest.
68|[Det lyder godt].|That sounds good.
69|[Det er rigtigt].|That's true.
70|[Det passer ikke].|That's not true.
71|[Præcis]!|Exactly!
72|[Seriøst]?|Really?
73|[Virkelig]? Det vidste jeg ikke.|Really? I didn't know that.
74|[Det tror jeg].|I think so.
75|[Det tror jeg ikke].|I don't think so.
76|[Vent lige lidt]!|Wait a moment!
77|[Et øjeblik], tak.|One moment, please.
78|[Pas på]!|Watch out!
79|[Held og lykke]!|Good luck!
80|[God fornøjelse]!|Have fun!
81|[God rejse]!|Have a good trip!
82|[Hils] din familie [fra mig].|Say hi to your family for me.
83|[Hvordan udtaler man] det?|How do you pronounce that?
84|[Jeg er ikke sikker].|I'm not sure.
85|[Kan du hjælpe mig]?|Can you help me?
86|[Hvad er der galt]?|What's wrong? / What's going on?
87|[Ikke noget særligt].|Nothing special.
88|[Hav det godt]!|Take care!
89|[Pas godt på dig selv]!|Take care of yourself!
90|[Vi ses]!|See you then!
91|[Jeg er ikke sikker på, om] jeg har forstået det rigtigt.|I'm not sure whether I understood that correctly.
92|[Hvad mener du med det]?|What do you mean by that?
93|[Hvordan mener du]?|How do you mean that?
94|[Jeg ville bare sige, at] jeg er glad.|I just wanted to say that I'm happy.
95|[Kan du sige mig], hvor banegården er?|Could you tell me where the train station is?
96|[Jeg har lige et spørgsmål].|I'd have a question.
97|[Det er dejligt at] se dig igen.|It's nice to see you again.
98|[Vi har ikke] set hinanden [i lang tid].|We haven't seen each other in a long time.
99|[Hvad har du lavet] på det sidste?|What have you been up to lately?
100|[Hvordan er det gået dig]?|How have you been?
101|[Det er jeg glad for at høre].|I'm glad to hear that.
102|[Det er jeg ked af at høre].|I'm sorry to hear that.
103|[Nåh sådan], nu forstår jeg.|Oh, I see, now I understand.
104|[Det giver mening].|That makes sense.
105|[Det er da] interessant!|That's interesting!
106|[Er det rigtigt, at] du flytter?|Is it true that you're moving?
107|[Jeg ville spørge dig, om] du har tid.|I wanted to ask you whether you have time.
108|[Gør det noget, hvis] jeg åbner vinduet?|Do you mind if I open the window?
109|[Ingen årsag].|Don't mention it.
110|[Jeg skal smutte].|I have to go.
111|[Jeg er desværre nødt til at gå nu].|Unfortunately I have to go now.
112|[Lad os holde] kontakten.|Let's stay in touch.
113|[Sig til], når du har tid.|Get in touch when you have time.
114|[Bare skriv] en besked til mig.|Just send me a message.
115|[Må jeg lige forstyrre dig]?|Can I bother you for a second?
116|[Jeg forstyrrer vel ikke]?|I'm not disturbing you, am I?
117|[Hvad var det nu]?|What was that again?
118|[Jeg har glemt] dit navn.|I've forgotten your name.
119|[Hvor var vi nået til]?|Where were we?
120|[Forresten], jeg har nyheder.|By the way, I have news.
121|[Apropos] ferie, hvor skal du hen?|Speaking of vacation, where are you going?
122|[Det afhænger af det].|That depends.
123|[Det kommer an på det].|It depends.
124|[Jeg er ligeglad med], hvad vi laver.|I don't care what we do.
125|[Jeg er spændt på], hvad der sker.|I'm curious to see what happens.
126|[Det fik jeg ikke med].|I didn't catch that.
127|[Kan du forklare det på en anden måde]?|Can you explain that differently?
128|[Jeg mente faktisk] noget andet.|I actually meant something else.
129|[Jeg kom til at sige forkert].|I misspoke.
130|[Det var bare for sjov].|That was just a joke.
131|[Jeg har travlt].|I'm in a hurry.
132|[Dejligt, at du er her].|Nice that you're here.
133|[Kom godt hjem]!|Get home safely!
134|[Føl dig som hjemme].|Make yourself at home.
135|[Nå ja], sådan er livet.|Oh well, that's life.
136|[Hvis jeg ikke tager fejl], har vi mødt hinanden før.|If I'm not mistaken, we've met before.
137|[Det lyder bekendt].|That sounds familiar.
138|[Du ser bekendt ud].|You look familiar.
139|[Det er gået mig af hukommelsen].|That slipped my mind.
140|[Det ligger på tungen af mig].|It's on the tip of my tongue.
141|[Jeg er lutter øre].|I'm all ears.
142|[For at være ærlig] har jeg ikke lyst.|To be honest, I don't feel like it.
143|[Ærligt talt] synes jeg, det er mærkeligt.|Honestly, I find that strange.
144|[Så vidt jeg ved], er han allerede gået.|As far as I know, he's already gone.
145|[Hvorom alting er], vi må komme videre.|Be that as it may, we have to keep going.
146|[Kort sagt]: Det lykkedes ikke.|In short: it didn't work out.
147|[Med andre ord], vi starter forfra.|In other words, we're starting over.
148|[Så det vil sige], du kommer ikke?|So that means you're not coming?
149|[Som sagt], jeg kan ikke i dag.|As I said, I can't today.
150|[Jeg ville ikke afbryde dig].|I didn't mean to interrupt you.
151|[Må jeg lige skyde noget ind]?|May I quickly add something?
152|[Lad mig tale færdig]!|Let me finish!
153|[Hvor vil du hen med det]?|What are you getting at?
154|[Det er ikke det, der er pointen].|That's not the point.
155|[Det er let for dig at sige].|That's easy for you to say.
156|[Det er det rene volapyk for mig].|It's all Greek to me.
157|[Du har ret], det var min fejl.|You're right, that was my mistake.
158|[Der har du] nu en [pointe].|You do have a point there.
159|[Du må ikke tage det ilde op], men jeg er nødt til at melde fra.|Don't take it the wrong way, but I have to cancel.
160|[Ingen fornærmelse].|No offense.
161|[Glem det].|Let's forget about it.
162|[Det var ikke sådan ment].|I didn't mean it like that.
163|[Nå, så lad os komme i gang]!|Well, let's get going!
164|[Vi får se].|We'll see.
165|[Hvem ved]?|Who knows?
166|[Det kommer ikke på tale].|That's out of the question.
167|[Jeg er med]!|I'm in!
168|[Heldigvis] lykkedes det alligevel.|Luckily it still worked out.
169|[Desværre] må jeg melde afbud.|Unfortunately I have to cancel.
170|[Jeg har misforstået] dig.|I misunderstood you.
171|[Det var det, jeg ville frem til].|That's what I was getting at.
172|[Jeg krydser fingre for dig]!|I'll keep my fingers crossed for you!
173|[Knæk og bræk]!|Break a leg!
174|[Tænk ikke på det].|Don't worry about it.
175|[Held og lykke med det]!|Break a leg! (good luck)
176|[Mellem os sagt], projektet slog fejl.|Between you and me, the project failed.
177|[Hvis jeg skal være ærlig], havde jeg mine tvivl.|If I'm honest, I had doubts.
178|[Medmindre] du har en bedre idé.|Unless you have a better idea.
179|[Det ene udelukker ikke det andet].|One doesn't rule out the other.
180|[Det er en helt anden sag].|That's a different story.
181|[Det er ikke mit bord].|That's not my problem.
182|[Lad os nu komme til sagen].|Let's get to the point.
183|[For at sige det kort]: Vi har brug for mere tid.|To get to the point: we need more time.
184|[Som man siger]: Øvelse gør mester.|As the saying goes: practice makes perfect.
185|[Så at sige].|So to speak.
186|[Grundlæggende] har du ret.|Basically, you're right.
