1|[Hola], ¿qué tal?|Hi, how's it going?
2|¡[Buenos días]!|Good morning!
3|[Buenas tardes], señora Müller.|Good day, Mrs. Müller.
4|¡[Buenas noches] a todos!|Good evening, everyone!
5|¡[Buenas noches], que descanses!|Good night, sleep well!
6|¿[Cómo está usted]?|How are you? (formal)
7|[Estoy bien], gracias.|I'm fine, thanks.
8|¿[Y tú]?|And you?
9|[Me llamo] Anna.|My name is Anna.
10|¿[Cómo te llamas]?|What's your name?
11|[Encantado] de conocerte.|Nice to meet you.
12|¿[De dónde eres]?|Where are you from?
13|[Soy de] Estados Unidos.|I'm from the USA.
14|¿[Dónde vives]?|Where do you live?
15|[Vivo en] Denver.|I live in Denver.
16|¿[Cuántos años tienes]?|How old are you?
17|[Tengo] treinta [años].|I'm thirty years old.
18|¿[Hablas] inglés?|Do you speak English?
19|[Hablo un poco de] español.|I speak a little German.
20|[Estoy aprendiendo] español.|I'm learning German.
21|[No lo entiendo].|I don't understand that.
22|[Otra vez], por favor.|Once more, please.
23|[Más despacio], por favor.|Slower, please.
24|¡[Muchas gracias]!|Thank you very much!
25|¡[De nada]!|You're welcome!
26|[No pasa nada].|No problem.
27|¡[Perdón]!|Excuse me!
28|[Lo siento].|I'm sorry.
29|[Sí, claro], con mucho gusto.|Yes, gladly.
30|[No, gracias].|No, thank you.
31|[Quizás].|Maybe.
32|¡[Vale], entendido!|All right! / Got it!
33|¡[Chao]!|Bye!
34|¡[Adiós]!|Goodbye!
35|¡[Hasta mañana]!|See you tomorrow!
36|¡[Hasta luego]!|See you later!
37|¡[Hasta pronto]!|See you soon!
38|¡[Buen fin de semana]!|Have a nice weekend!
39|¡[Que tengas un buen día]!|Have a nice day!
40|¿[Qué es eso]?|What is that?
41|¿[Cómo dices]?|Pardon?
42|[No lo sé].|I don't know.
43|[Este es] mi amigo Tom.|This is my friend Tom.
44|¡[Bienvenido]!|Welcome!
45|¡[Enhorabuena]!|Congratulations!
46|¿[Qué significa] esta palabra?|What does this word mean?
47|¿[Cómo se dice] "thank you" en español?|How do you say "thank you" in German?
48|¿[Cómo se escribe] eso?|How do you spell that?
49|¿[Podrías] hablar más despacio, por favor?|Could you speak more slowly, please?
50|¿[Puedes repetirlo], por favor?|Can you repeat that, please?
